pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
53.991402,-21.053331,14.195118,39.352428,-19.103888,37.546511,NaN,NaN,NaN
54.145522,-21.120615,14.178279,39.454279,-19.133998,37.616318,NaN,NaN,NaN
54.309278,-21.215159,14.170374,39.562195,-19.133386,37.718373,NaN,NaN,NaN
54.476249,-21.328926,14.172019,39.672595,-19.111952,37.857464,NaN,NaN,NaN
54.635666,-21.462684,14.181826,39.783658,-19.110319,38.029892,NaN,NaN,NaN
54.774735,-21.614896,14.196265,39.891471,-19.161069,38.221930,NaN,NaN,NaN
54.882156,-21.773263,14.210304,39.988952,-19.269166,38.411784,NaN,NaN,NaN
54.950775,-21.913368,14.218482,40.067790,-19.413178,38.575044,NaN,NaN,NaN
54.979596,-22.005746,14.215881,40.120732,-19.549497,38.692166,NaN,NaN,NaN
54.974882,-22.027106,14.199164,40.144752,-19.623676,38.754203,NaN,NaN,NaN
54.949309,-21.970946,14.167394,40.145291,-19.594586,38.763499,NaN,NaN,NaN
54.918269,-21.852515,14.122071,40.137131,-19.462216,38.730159,NaN,NaN,NaN
54.894129,-21.704423,14.066252,40.138229,-19.277145,38.667211,NaN,NaN,NaN
54.881716,-21.563782,14.003701,40.159312,-19.111574,38.586517,NaN,NaN,NaN
54.878854,-21.457245,13.939201,40.198495,-19.004357,38.497528,NaN,NaN,NaN
54.880966,-21.390096,13.880391,40.244686,-18.941225,38.410082,NaN,NaN,NaN
54.886308,-21.345316,13.839736,40.286830,-18.884129,38.338881,NaN,NaN,NaN
54.899749,-21.297796,13.833536,40.322767,-18.814377,38.304143,NaN,NaN,NaN
54.932995,-21.233639,13.877778,40.362682,-18.747576,38.326581,NaN,NaN,NaN
55.001815,-21.160930,13.983632,40.427727,-18.714564,38.420921,NaN,NaN,NaN
55.121441,-21.109600,14.154027,40.543049,-18.756924,38.591156,NaN,NaN,NaN
55.299651,-21.119863,14.382556,40.720081,-18.934903,38.828130,NaN,NaN,NaN
55.531321,-21.223414,14.654612,40.939368,-19.304788,39.111292,NaN,NaN,NaN
55.799184,-21.429419,14.949551,41.157848,-19.888662,39.414385,NaN,NaN,NaN
56.079312,-21.723694,15.243348,41.341123,-20.672248,39.710429,NaN,NaN,NaN
56.347025,-22.076366,15.511692,41.485919,-21.578175,39.974043,NaN,NaN,NaN
56.580361,-22.447879,15.733450,41.611495,-22.438645,40.183161,NaN,NaN,NaN
56.761821,-22.791143,15.894513,41.729959,-23.053999,40.323121,NaN,NaN,NaN
56.880920,-23.061120,15.990143,41.831619,-23.322337,40.391835,NaN,NaN,NaN
56.936647,-23.230364,16.024175,41.896117,-23.305765,40.400480,NaN,NaN,NaN
56.936759,-23.293452,16.006342,41.908411,-23.162124,40.367933,NaN,NaN,NaN
56.895121,-23.257742,15.950226,41.866625,-23.014995,40.314342,NaN,NaN,NaN
56.829631,-23.134587,15.871967,41.784400,-22.891727,40.257024,NaN,NaN,NaN
56.759157,-22.937428,15.788937,41.686825,-22.756464,40.208028,NaN,NaN,NaN
56.697995,-22.681073,15.718481,41.599463,-22.562879,40.173359,NaN,NaN,NaN
56.651514,-22.379639,15.676987,41.539104,-22.282581,40.154343,NaN,NaN,NaN
56.617048,-22.048529,15.678574,41.516582,-21.919120,40.149588,NaN,NaN,NaN
56.588785,-21.712149,15.731947,41.547690,-21.518586,40.155060,NaN,NaN,NaN
56.561866,-21.408674,15.836004,41.656282,-21.167306,40.162743,NaN,NaN,NaN
56.532609,-21.180989,15.976863,41.860215,-20.958149,40.160290,NaN,NaN,NaN
56.496902,-21.053003,16.129989,42.149420,-20.926995,40.134213,NaN,NaN,NaN
56.451185,-21.012149,16.266992,42.480320,-21.012241,40.075210,NaN,NaN,NaN
56.394590,-21.017610,16.362781,42.792946,-21.105445,39.979911,NaN,NaN,NaN
56.327421,-21.023755,16.401055,43.031486,-21.136445,39.849817,NaN,NaN,NaN
56.249381,-21.000212,16.376251,43.157990,-21.095861,39.689088,NaN,NaN,NaN
56.161134,-20.938675,16.292738,43.161484,-20.992545,39.502295,NaN,NaN,NaN
56.067744,-20.846551,16.163087,43.061207,-20.813033,39.294326,NaN,NaN,NaN
55.980358,-20.732583,16.006900,42.899429,-20.523537,39.074323,NaN,NaN,NaN
55.913999,-20.598200,15.849697,42.724050,-20.108621,38.860822,NaN,NaN,NaN
55.881566,-20.440120,15.721044,42.568729,-19.606364,38.683896,NaN,NaN,NaN
55.888552,-20.257605,15.652217,42.444817,-19.102737,38.582469,NaN,NaN,NaN
55.933957,-20.064434,15.671318,42.352483,-18.698171,38.595072,NaN,NaN,NaN
56.014162,-19.897041,15.795619,42.295894,-18.477243,38.744801,NaN,NaN,NaN
56.125083,-19.803924,16.024931,42.286348,-18.474069,39.027012,NaN,NaN,NaN
56.262271,-19.820716,16.340133,42.335668,-18.650687,39.408236,NaN,NaN,NaN
56.420110,-19.951438,16.707292,42.448003,-18.926281,39.835721,NaN,NaN,NaN
56.590724,-20.167844,17.085545,42.611883,-19.221745,40.251975,NaN,NaN,NaN
56.764260,-20.425578,17.435942,42.797771,-19.482376,40.609346,NaN,NaN,NaN
56.931347,-20.687738,17.728473,42.967934,-19.686067,40.880422,NaN,NaN,NaN
57.085705,-20.940456,17.945582,43.094058,-19.846650,41.059953,NaN,NaN,NaN
57.223873,-21.190304,18.081938,43.168516,-19.998069,41.159413,NaN,NaN,NaN
57.341059,-21.447335,18.142778,43.203077,-20.167321,41.199108,NaN,NaN,NaN
57.427529,-21.706424,18.141716,43.218761,-20.358808,41.201771,NaN,NaN,NaN
57.469360,-21.939494,18.097917,43.232925,-20.554372,41.188773,NaN,NaN,NaN
57.454245,-22.103904,18.032947,43.251123,-20.714188,41.179137,NaN,NaN,NaN
57.378893,-22.163639,17.967864,43.270308,-20.786281,41.189557,NaN,NaN,NaN
